car_model,price,year_model,kms
Kia Rio 1.4 5 p,$51.000.000,2016,80.500
Kia Rio All New Zenith Mt,$59.900.000,2018,65.436
Kia Rio Sedán Vibrant,$68.000.000,2023,9.204
Kia Rio Sedan Full Equipo,$40.000.000,2013,125.000
Kia Rio 1.4,$67.000.000,2022,15.000
Kia Rio 1.4 4 p,$44.500.000,2014,92.000
Kia Rio 1.4,$68.000.000,2021,69.000
Kia Rio 1.4 Vibrant Hb 5 p,$67.900.000,2023,26.000
Kia Rio R  1.25 L  Mecánico ,$48.990.000,2016,33.600
Kia Rio 1.4 4 p,$39.900.000,2013,101.000
Kia Rio Sedán Rio Stylus Ls,$32.900.000,2014,71.000
Kia Rio 1.4 5 p,$49.500.000,2016,61.000
Vendo Hermoso Kia Rio Ub Ex  Sedan 2015 ,$42.500.000,Publicado,23
Kia Rio 1.5 Stylus,$28.000.000,2016,96.800
Kia Rio R Vendo Kia Rio Ub Ex ,$49.000.000,2018,67.000
Kia Rio 1.4 4 p,$20.700.000,2009,265.105
Kia Rio 1.4,$58.000.000,2020,87.000
Kia Rio 1.4 Vibrant Mt,$63.000.000,2022,44.900
Kia Rio 1.4 5 p,$42.000.000,2014,64.200
Kia Rio R Ex Sedan 1.250 ,$49.990.000,2016,33.600
Kia Rio 1.4 Vibrant Hb 5 p,$68.000.000,2023,38.000
Kia Rio 1.4,$52.500.000,2018,85.000
Kia Rio 1.4 Vibrant At,$59.000.000,2021,50.000
Kia Rio 1.4,$54.000.000,2020,78.000
Kia Rio 1.4 4 p,$39.500.000,2013,97.000
Kia Rio 1.4,$53.000.000,2019,29.000
Kia Rio 1.4,$58.500.000,2018,68.000
Kia Rio 1.5 Stylus,$50.000.000,2011,710.000
Kia Rio 1.4,$72.000.000,2023,9.600
Kia Rio 1.4 Zenith Hb 4 p,$63.800.000,2020,20.100
Kia Rio 1.4,$65.000.000,2022,27.000
Kia Rio 1.4 Sc Nb,$51.900.000,2018,80.000
Kia Rio R 1.4,$40.000.000,2017,85.500
Kia Sorento 2.4 Lx,$59.999.999,2012,196.000
Kia Rio 1.5 5-5,$24.000.000,2012,84.000
Kia Rio 1.4 Vibrant At,$65.000.000,2022,34.000
Kia Rio Spice Ub Ex 2014,$42.500.000,2014,106.000
Kia Rio Sedán .,$35.800.000,2013,114.000
